,pl_name,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjref,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjref,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperref,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxref,st_rad,st_raderr1,st_raderr2,st_radref,st_mass,st_masserr1,st_masserr2,st_massref,st_metratio,st_metfe,pl_insol,st_teff,pl_facility,pl_locale,pl_bmassjlim,er,em,ep,ea,ers,ems,mmax,mmin
1182,Kepler-1414 b,0.11,0.008,-0.006999999999999999,Morton et al. 2016,,,,Morton et al. 2016,3.51576315,1.186e-05,-1.186e-05,Morton et al. 2016,,,,Morton et al. 2016,0.75,0.03,-0.04,Morton et al. 2016,0.8,0.035,-0.043,Morton et al. 2016,[Fe/H],-0.02,,4951.0,Kepler,Space,,0.06818181818181818,,3.3733785508275775e-06,,0.04666666666666667,0.048749999999999995,,
1183,Kepler-1415 b,0.10800000000000001,0.008,-0.01,Berger et al. 2018,,,,Morton et al. 2016,0.63642405,1.11e-06,-1.11e-06,Gajdo&scaron; et al. 2019,,,,Morton et al. 2016,0.82,0.05,-0.05,Berger et al. 2018,0.89,0.036,-0.038,Morton et al. 2016,[Fe/H],0.12,,5267.0,Kepler,Space,,0.08333333333333333,,1.7441201349948984e-06,,0.06097560975609757,0.041573033707865165,,
1184,Kepler-1416 b,0.079,0.028999999999999998,-0.012,Morton et al. 2016,,,,Morton et al. 2016,1.49514952,1.069e-05,-1.069e-05,Morton et al. 2016,,,,Morton et al. 2016,1.39,0.06,-0.06,Berger et al. 2018,1.09,0.195,-0.106,Morton et al. 2016,[Fe/H],0.03,,6019.0,Kepler,Space,,0.2594936708860759,,7.14978659793169e-06,,0.04316546762589928,0.13807339449541284,,
1185,Kepler-1417 b,0.142,0.009000000000000001,-0.008,Berger et al. 2018,,,,Morton et al. 2016,20.35094013,0.00026237,-0.00026237,Gajdo&scaron; et al. 2019,,,,Morton et al. 2016,1.57,0.07,-0.07,Berger et al. 2018,1.02,0.06,-0.063,Morton et al. 2016,[Fe/H],0.02,,5839.0,Kepler,Space,,0.059859154929577475,,1.2892279094921596e-05,,0.0445859872611465,0.060294117647058824,,
1186,Kepler-1418 b,0.14800000000000002,0.006999999999999999,-0.012,Morton et al. 2016,,,,Morton et al. 2016,22.47633948,1.174e-05,-1.174e-05,Holczer et al. 2016,,,,Morton et al. 2016,0.72,0.02,-0.03,Morton et al. 2016,0.77,0.032,-0.04,Morton et al. 2016,[Fe/H],0.0,,4770.0,Kepler,Space,,0.06418918918918917,,5.22327045756118e-07,,0.034722222222222224,0.046753246753246755,,
1187,Kepler-1419 b,0.25,0.026000000000000002,-0.026000000000000002,Berger et al. 2018,,,,Morton et al. 2016,42.52152413,1.523e-05,-1.523e-05,Holczer et al. 2016,,,,Morton et al. 2016,1.05,0.1,-0.09,Berger et al. 2018,1.01,0.063,-0.067,Morton et al. 2016,[Fe/H],0.04,,5796.0,Kepler,Space,,0.10400000000000001,,3.5817154515528886e-07,,0.09047619047619047,0.06435643564356436,,
1188,Kepler-142 b,0.158,0.022000000000000002,-0.008,Berger et al. 2018,,,,Rowe et al. 2014,2.02414638,1.2e-06,-1.2e-06,Holczer et al. 2016,0.032,,,Rowe et al. 2014,1.12,0.05,-0.04,Berger et al. 2018,1.06,0.046,-0.041,Morton et al. 2016,,,,5790.0,Kepler,Space,,0.0949367088607595,,5.928424998591258e-07,,0.040178571428571425,0.0410377358490566,,
1189,Kepler-142 c,0.22399999999999998,0.022000000000000002,-0.01,Berger et al. 2018,,,,Rowe et al. 2014,4.76170534,9.6e-07,-9.6e-07,Holczer et al. 2016,0.057,,,Rowe et al. 2014,1.12,0.05,-0.04,Berger et al. 2018,1.06,0.046,-0.041,Morton et al. 2016,,,,5790.0,Kepler,Space,,0.07142857142857144,,2.0160844307934434e-07,,0.040178571428571425,0.0410377358490566,,
1190,Kepler-142 d,0.136,0.008,-0.006,Berger et al. 2018,,,,Rowe et al. 2014,41.80965969,0.00024776,-0.00024776,Gajdo&scaron; et al. 2019,0.242,,,Rowe et al. 2014,1.12,0.05,-0.04,Berger et al. 2018,1.06,0.046,-0.041,Morton et al. 2016,,,,5790.0,Kepler,Space,,0.051470588235294115,,5.925903292134643e-06,,0.040178571428571425,0.0410377358490566,,
1191,Kepler-1420 b,0.114,0.012,-0.011000000000000001,Morton et al. 2016,,,,Morton et al. 2016,6.69953681,4.32e-05,-4.32e-05,Gajdo&scaron; et al. 2019,,,,Morton et al. 2016,0.79,0.07,-0.06,Morton et al. 2016,0.82,0.055,-0.058,Morton et al. 2016,[Fe/H],-0.1,,5187.0,Kepler,Space,,0.10087719298245613,,6.448206976864122e-06,,0.08227848101265822,0.06890243902439025,,
1192,Kepler-1421 b,0.095,0.006999999999999999,-0.006999999999999999,Berger et al. 2018,,,,Morton et al. 2016,6.91241288,7.47e-05,-7.47e-05,Gajdo&scaron; et al. 2019,,,,Morton et al. 2016,1.69,0.08,-0.07,Berger et al. 2018,1.25,0.094,-0.063,Morton et al. 2016,[Fe/H],0.05,,6335.0,Kepler,Space,,0.07368421052631578,,1.0806646144667215e-05,,0.044378698224852076,0.0628,,
1193,Kepler-1422 b,0.201,0.027000000000000003,-0.024,Berger et al. 2018,,,,Morton et al. 2016,18.6051942,0.0003246,-0.0003246,Morton et al. 2016,,,,Morton et al. 2016,1.44,0.18,-0.15,Berger et al. 2018,1.15,0.091,-0.077,Morton et al. 2016,[Fe/H],0.0,,6194.0,Kepler,Space,,0.12686567164179105,,1.7446740760169007e-05,,0.11458333333333333,0.07304347826086956,,
1194,Kepler-1423 b,0.095,0.008,-0.006,Morton et al. 2016,,,,Morton et al. 2016,23.955378,0.0001729,-0.0001729,Morton et al. 2016,,,,Morton et al. 2016,0.75,0.03,-0.04,Morton et al. 2016,0.79,0.035,-0.043,Morton et al. 2016,[Fe/H],-0.02,,4939.0,Kepler,Space,,0.0736842105263158,,7.217585963369061e-06,,0.04666666666666667,0.049367088607594936,,
