,pl_name,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjref,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjref,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperref,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxref,st_rad,st_raderr1,st_raderr2,st_radref,st_mass,st_masserr1,st_masserr2,st_massref,st_metratio,st_metfe,pl_insol,st_teff,pl_facility,pl_locale,pl_bmassjlim,er,em,ep,ea,ers,ems,mmax,mmin
715,Kepler-106 d,0.092,0.008,-0.008,Morton et al. 2016,0.025490000000000002,,, Marcy et al. 2014 ,23.97923476,7.157e-05,-7.157e-05,Gajdo&scaron; et al. 2019,,,,Marcy et al. 2014,1.05,0.05,-0.04,Berger et al. 2018,1.05,0.047,-0.049,Morton et al. 2016,[Fe/H],-0.12,,5858.0,Kepler,Space,1.0,0.08695652173913043,,2.98466572083387e-06,,0.04285714285714285,0.045714285714285714,,
716,Kepler-106 e,0.265,0.012,-0.033,Berger et al. 2018,0.035,0.018,-0.018, Marcy et al. 2014 ,43.84437655,2.22e-06,-2.22e-06,Holczer et al. 2016,,,,Marcy et al. 2014,1.05,0.05,-0.04,Berger et al. 2018,1.05,0.047,-0.049,Morton et al. 2016,[Fe/H],-0.12,,5858.0,Kepler,Space,0.0,0.08490566037735849,0.5142857142857142,5.063363137273302e-08,,0.04285714285714285,0.045714285714285714,0.053000000000000005,0.017000000000000005
717,Kepler-1060 b,0.212,0.04,-0.026000000000000002,Morton et al. 2016,,,,Morton et al. 2016,46.87827068,7.34e-06,-7.34e-06,Holczer et al. 2016,,,,Morton et al. 2016,1.15,0.06,-0.05,Berger et al. 2018,0.99,0.082,-0.073,Morton et al. 2016,[Fe/H],-0.03,,5797.0,Kepler,Space,,0.1556603773584906,,1.5657574167153558e-07,,0.04782608695652174,0.07828282828282829,,
718,Kepler-1061 b,0.151,0.006999999999999999,-0.023,Berger et al. 2018,,,,Morton et al. 2016,2.75797905,1.75e-06,-1.75e-06,Holczer et al. 2016,,,,Morton et al. 2016,1.0,0.04,-0.04,Berger et al. 2018,1.09,0.036,-0.042,Morton et al. 2016,[Fe/H],-0.03,,6067.0,Kepler,Space,,0.09933774834437085,,6.345225863844035e-07,,0.04,0.03577981651376146,,
719,Kepler-1062 b,0.157,0.008,-0.009000000000000001,Morton et al. 2016,,,,Morton et al. 2016,9.30414969,3.14e-06,-3.14e-06,Holczer et al. 2016,,,,Morton et al. 2016,0.7,0.02,-0.03,Morton et al. 2016,0.75,0.029,-0.038,Morton et al. 2016,[Fe/H],0.11,,4597.0,Kepler,Space,,0.054140127388535034,,3.3748382223201315e-07,,0.03571428571428572,0.04466666666666667,,
720,Kepler-1063 b,0.133,0.036000000000000004,-0.017,Morton et al. 2016,,,,Morton et al. 2016,14.07971049,2.05e-06,-2.05e-06,Holczer et al. 2016,,,,Morton et al. 2016,1.14,0.3,-0.14,Morton et al. 2016,1.09,0.109,-0.072,Morton et al. 2016,[Fe/H],0.09,,5945.0,Kepler,Space,,0.1992481203007519,,1.4559958469714243e-07,,0.1929824561403509,0.08302752293577981,,
721,Kepler-1064 b,0.138,0.006,-0.004,Morton et al. 2016,,,,Morton et al. 2016,16.54077825,3.02e-06,-3.02e-06,Holczer et al. 2016,,,,Morton et al. 2016,0.79,0.02,-0.02,Morton et al. 2016,0.85,0.03,-0.033,Morton et al. 2016,[Fe/H],0.0,,5153.0,Kepler,Space,,0.03623188405797101,,1.8257907544344233e-07,,0.02531645569620253,0.03705882352941177,,
722,Kepler-1065 b,0.325,0.028999999999999998,-0.028999999999999998,Berger et al. 2018,,,,Morton et al. 2016,3.60931176,1.58e-06,-1.58e-06,Holczer et al. 2016,,,,Morton et al. 2016,0.97,0.09,-0.08,Berger et al. 2018,0.94,0.065,-0.063,Morton et al. 2016,[Fe/H],-0.01,,5635.0,Kepler,Space,,0.08923076923076922,,4.377565876991462e-07,,0.08762886597938144,0.06808510638297872,,
723,Kepler-1065 c,0.129,0.019,-0.016,Berger et al. 2018,,,,Morton et al. 2016,2.37030743,1.691e-05,-1.691e-05,Morton et al. 2016,,,,Morton et al. 2016,0.97,0.09,-0.08,Berger et al. 2018,0.94,0.065,-0.063,Morton et al. 2016,[Fe/H],-0.01,,5635.0,Kepler,Space,,0.1356589147286822,,7.134095681419688e-06,,0.08762886597938144,0.06808510638297872,,
724,Kepler-1066 b,0.21100000000000002,0.045,-0.028999999999999998,Morton et al. 2016,,,,Morton et al. 2016,1.93155971,4.8e-07,-4.8e-07,Holczer et al. 2016,,,,Morton et al. 2016,0.86,0.04,-0.04,Berger et al. 2018,0.98,0.108,-0.072,Morton et al. 2016,[Fe/H],-0.03,,5762.0,Kepler,Space,,0.1753554502369668,,2.4850383734707326e-07,,0.046511627906976744,0.09183673469387756,,
725,Kepler-1067 b,0.065,0.008,-0.004,Berger et al. 2018,,,,Morton et al. 2016,0.76212989,1.34e-06,-1.34e-06,Gajdo&scaron; et al. 2019,,,,Morton et al. 2016,0.91,0.04,-0.04,Berger et al. 2018,0.95,0.041,-0.045,Morton et al. 2016,[Fe/H],0.03,,5592.0,Kepler,Space,,0.09230769230769231,,1.758230476959774e-06,,0.04395604395604395,0.04526315789473684,,
726,Kepler-1068 b,0.31,0.065,-0.023,Berger et al. 2018,,,,Morton et al. 2016,16.92339149,3.76e-06,-3.76e-06,Holczer et al. 2016,,,,Morton et al. 2016,1.01,0.07,-0.07,Berger et al. 2018,1.01,0.069,-0.065,Morton et al. 2016,[Fe/H],0.03,,5806.0,Kepler,Space,,0.14193548387096774,,2.2217768833284845e-07,,0.06930693069306931,0.06633663366336634,,
727,Kepler-1069 b,0.24100000000000002,0.012,-0.011000000000000001,Berger et al. 2018,,,,Morton et al. 2016,23.89882644,9.65e-06,-9.65e-06,Holczer et al. 2016,,,,Morton et al. 2016,1.6,0.07,-0.07,Berger et al. 2018,0.99,0.051,-0.052,Morton et al. 2016,[Fe/H],0.04,,5722.0,Kepler,Space,,0.04771784232365145,,4.037855174281102e-07,,0.043750000000000004,0.052020202020202015,,
728,Kepler-107 b,0.13699999999999998,0.002,-0.002,Bonomo et al. 2019,0.011040000000000001,0.0047799999999999995,-0.0047799999999999995,Bonomo et al. 2019,3.1800218,2.9e-06,-2.9e-06,Bonomo et al. 2019,0.045439999999999994,0.00035,-0.00035,Bonomo et al. 2019,1.45,0.01,-0.01,Bonomo et al. 2019,1.238,0.029,-0.029,Bonomo et al. 2019,[Fe/H],0.321,,5854.0,Kepler,Space,0.0,0.014598540145985404,0.43297101449275355,9.119434338469001e-07,0.007702464788732395,0.006896551724137932,0.023424878836833606,0.01582,0.006260000000000002
729,Kepler-107 c,0.142,0.002,-0.002,Bonomo et al. 2019,0.029539999999999997,0.00557,-0.00557,Bonomo et al. 2019,4.9014287,4.88e-06,-4.88e-06,Holczer et al. 2016,0.06064,0.00047000000000000004,-0.00047000000000000004,Bonomo et al. 2019,1.45,0.01,-0.01,Bonomo et al. 2019,1.238,0.029,-0.029,Bonomo et al. 2019,[Fe/H],0.321,,5854.0,Kepler,Space,0.0,0.014084507042253523,0.18855788761002035,9.95628070648054e-07,0.007750659630606861,0.006896551724137932,0.023424878836833606,0.035109999999999995,0.023969999999999998
730,Kepler-107 d,0.077,0.005,-0.005,Bonomo et al. 2019,0.01196,,,Bonomo et al. 2019,7.95830216,5.983e-05,-5.983e-05,Morton et al. 2016,0.08377000000000001,0.00065,-0.00065,Bonomo et al. 2019,1.45,0.01,-0.01,Bonomo et al. 2019,1.238,0.029,-0.029,Bonomo et al. 2019,[Fe/H],0.321,,5854.0,Kepler,Space,1.0,0.06493506493506494,,7.517935207426203e-06,0.007759341052882892,0.006896551724137932,0.023424878836833606,,
731,Kepler-107 e,0.259,0.003,-0.003,Bonomo et al. 2019,0.02706,0.01133,-0.01133,Bonomo et al. 2019,14.7491425,2.04e-06,-2.04e-06,Holczer et al. 2016,0.12639,0.00099,-0.00099,Bonomo et al. 2019,1.45,0.01,-0.01,Bonomo et al. 2019,1.238,0.029,-0.029,Bonomo et al. 2019,[Fe/H],0.321,,5854.0,Kepler,Space,0.0,0.011583011583011582,0.4186991869918699,1.383131256613732e-07,0.007832898172323759,0.006896551724137932,0.023424878836833606,0.03839,0.01573
732,Kepler-1070 b,0.157,0.006999999999999999,-0.019,Berger et al. 2018,,,,Morton et al. 2016,6.22160003,6.1e-06,-6.1e-06,Holczer et al. 2016,,,,Morton et al. 2016,1.22,0.06,-0.05,Berger et al. 2018,1.21,0.195,-0.098,Morton et al. 2016,[Fe/H],0.03,,6261.0,Kepler,Space,,0.08280254777070063,,9.80455183648313e-07,,0.045081967213114756,0.12107438016528928,,
733,Kepler-1071 b,0.212,0.006,-0.012,Morton et al. 2016,,,,Morton et al. 2016,6.18000073,3.12e-06,-3.12e-06,Holczer et al. 2016,,,,Morton et al. 2016,0.81,0.03,-0.03,Morton et al. 2016,0.86,0.033,-0.041,Morton et al. 2016,[Fe/H],0.01,,5215.0,Kepler,Space,,0.04245283018867925,,5.048543092971448e-07,,0.037037037037037035,0.0430232558139535,,
734,Kepler-1072 b,0.145,0.008,-0.006999999999999999,Berger et al. 2018,,,,Morton et al. 2016,1.5690665,2.9e-06,-2.9e-06,Morton et al. 2016,,,,Morton et al. 2016,1.35,0.06,-0.06,Berger et al. 2018,1.2,0.191,-0.091,Morton et al. 2016,[Fe/H],0.07,,6199.0,Kepler,Space,,0.05172413793103448,,1.8482326912211817e-06,,0.04444444444444444,0.11750000000000002,,
735,Kepler-1073 b,0.205,0.011000000000000001,-0.01,Berger et al. 2018,,,,Morton et al. 2016,8.67888113,3.44e-06,-3.44e-06,Holczer et al. 2016,,,,Morton et al. 2016,1.0,0.05,-0.04,Berger et al. 2018,1.0,0.095,-0.066,Morton et al. 2016,[Fe/H],0.0,,5792.0,Kepler,Space,,0.051219512195121955,,3.963644562556648e-07,,0.045,0.0805,,
736,Kepler-1073 c,0.14300000000000002,0.009000000000000001,-0.006999999999999999,Berger et al. 2018,,,,Morton et al. 2016,4.02582254,1.484e-05,-1.484e-05,Morton et al. 2016,,,,Morton et al. 2016,1.0,0.05,-0.04,Berger et al. 2018,1.0,0.095,-0.066,Morton et al. 2016,[Fe/H],0.0,,5792.0,Kepler,Space,,0.05594405594405594,,3.6862032174920458e-06,,0.045,0.0805,,
737,Kepler-1074 b,0.105,0.005,-0.004,Berger et al. 2018,,,,Morton et al. 2016,5.94564846,3.81e-06,-3.81e-06,Holczer et al. 2016,,,,Morton et al. 2016,0.59,0.02,-0.02,Berger et al. 2018,0.6,0.02,-0.026,Morton et al. 2016,[Fe/H],-0.06,,4002.0,Kepler,Space,,0.042857142857142864,,6.408047878431077e-07,,0.03389830508474576,0.03833333333333334,,
738,Kepler-1075 b,0.131,0.01,-0.031,Berger et al. 2018,,,,Morton et al. 2016,1.52372816,2.7e-06,-2.7e-06,Morton et al. 2016,,,,Morton et al. 2016,0.59,0.02,-0.02,Berger et al. 2018,0.56,0.03,-0.029,Morton et al. 2016,[Fe/H],-0.17,,3959.0,Kepler,Space,,0.15648854961832062,,1.7719696143175563e-06,,0.03389830508474576,0.05267857142857142,,
739,Kepler-1076 b,0.071,0.004,-0.003,Morton et al. 2016,,,,Morton et al. 2016,6.14727918,2.112e-05,-2.112e-05,Morton et al. 2016,,,,Morton et al. 2016,0.74,0.01,-0.02,Morton et al. 2016,0.79,0.026,-0.036,Morton et al. 2016,[Fe/H],-0.01,,4868.0,Kepler,Space,,0.04929577464788733,,3.4356663137593177e-06,,0.02027027027027027,0.039240506329113925,,
740,Kepler-1077 b,0.25,0.022000000000000002,-0.039,Berger et al. 2018,,,,Morton et al. 2016,34.35113976,5.05e-06,-5.05e-06,Holczer et al. 2016,,,,Morton et al. 2016,0.98,0.08,-0.07,Berger et al. 2018,1.02,0.057,-0.054,Morton et al. 2016,[Fe/H],0.03,,5816.0,Kepler,Space,,0.122,,1.4701113369986182e-07,,0.07653061224489797,0.054411764705882354,,
741,Kepler-1078 b,0.17,0.027000000000000003,-0.028999999999999998,Morton et al. 2016,,,,Morton et al. 2016,3.00725242,1.242e-05,-1.242e-05,Morton et al. 2016,,,,Morton et al. 2016,0.92,0.12,-0.07,Morton et al. 2016,0.94,0.048,-0.054,Morton et al. 2016,[Fe/H],-0.01,,5612.0,Kepler,Space,,0.16470588235294117,,4.130015796944641e-06,,0.10326086956521739,0.05425531914893618,,
742,Kepler-1079 b,0.182,0.008,-0.013000000000000001,Berger et al. 2018,,,,Morton et al. 2016,13.24507215,4.54e-06,-4.54e-06,Holczer et al. 2016,,,,Morton et al. 2016,1.6,0.07,-0.07,Berger et al. 2018,1.08,0.119,-0.062,Morton et al. 2016,[Fe/H],0.21,,5758.0,Kepler,Space,,0.057692307692307696,,3.4276898974838726e-07,,0.043750000000000004,0.08379629629629629,,
743,Kepler-108 b,0.772,0.043,-0.043, Rowe et al. 2014,,,,Rowe et al. 2014,49.18395775,1.08e-06,-1.08e-06,Holczer et al. 2016,0.292,,,Rowe et al. 2014,2.11,0.11,-0.12,Morton et al. 2016,1.36,0.053,-0.124,Morton et al. 2016,,,,5854.0,Kepler,Space,,0.05569948186528497,,2.1958379305089577e-08,,0.054502369668246446,0.0650735294117647,,
744,Kepler-108 c,0.696,0.037000000000000005,-0.045,Morton et al. 2016,,,,Rowe et al. 2014,190.32084285,8.19e-06,-8.19e-06,Holczer et al. 2016,0.721,,,Rowe et al. 2014,2.11,0.11,-0.12,Morton et al. 2016,1.36,0.053,-0.124,Morton et al. 2016,,,,5854.0,Kepler,Space,,0.0589080459770115,,4.303259631135035e-08,,0.054502369668246446,0.0650735294117647,,
745,Kepler-1080 b,0.532,0.054000000000000006,-0.066,Berger et al. 2018,,,,Morton et al. 2016,77.25562525,4.38e-06,-4.38e-06,Holczer et al. 2016,,,,Morton et al. 2016,2.19,0.17,-0.15,Berger et al. 2018,1.1,0.101,-0.06,Morton et al. 2016,[Fe/H],0.09,,5956.0,Kepler,Space,,0.11278195488721805,,5.669490067326846e-08,,0.07305936073059362,0.07318181818181818,,
746,Kepler-1081 b,0.085,0.004,-0.006,Berger et al. 2018,,,,Morton et al. 2016,3.85691855,9.66e-06,-9.66e-06,Morton et al. 2016,,,,Morton et al. 2016,0.84,0.04,-0.03,Berger et al. 2018,0.88,0.039,-0.043,Morton et al. 2016,[Fe/H],0.01,,5345.0,Kepler,Space,,0.058823529411764705,,2.5045900956347655e-06,,0.04166666666666667,0.046590909090909086,,
747,Kepler-1082 b,0.11599999999999999,0.006,-0.006,Berger et al. 2018,,,,Morton et al. 2016,1.54321504,4.15e-06,-4.15e-06,Gajdo&scaron; et al. 2019,,,,Morton et al. 2016,1.36,0.06,-0.06,Berger et al. 2018,1.03,0.055,-0.059,Morton et al. 2016,[Fe/H],-0.06,,5923.0,Kepler,Space,,0.05172413793103449,,2.689191002182042e-06,,0.044117647058823525,0.05533980582524271,,
748,Kepler-1083 b,0.3,0.013999999999999999,-0.055999999999999994,Morton et al. 2016,,,,Morton et al. 2016,33.41773787,6.13e-06,-6.13e-06,Holczer et al. 2016,,,,Morton et al. 2016,0.77,0.03,-0.04,Morton et al. 2016,0.81,0.036,-0.041,Morton et al. 2016,[Fe/H],-0.02,,5049.0,Kepler,Space,,0.11666666666666665,,1.8343551630713652e-07,,0.045454545454545456,0.04753086419753086,,
749,Kepler-1084 b,0.11599999999999999,0.005,-0.026000000000000002,Berger et al. 2018,,,,Morton et al. 2016,2.05333679,4.13e-06,-4.13e-06,Morton et al. 2016,,,,Morton et al. 2016,1.23,0.05,-0.05,Berger et al. 2018,1.12,0.075,-0.063,Morton et al. 2016,[Fe/H],-0.02,,6113.0,Kepler,Space,,0.13362068965517243,,2.0113602503562023e-06,,0.04065040650406505,0.06160714285714285,,
750,Kepler-1085 b,0.556,0.032,-0.03,Berger et al. 2018,,,,Morton et al. 2016,219.32137078,7.26e-06,-7.26e-06,Holczer et al. 2016,,,,Morton et al. 2016,1.03,0.06,-0.06,Berger et al. 2018,1.11,0.088,-0.063,Morton et al. 2016,[Fe/H],0.08,,6000.0,Kepler,Space,,0.05575539568345323,,3.310210935751657e-08,,0.058252427184466014,0.068018018018018,,
751,Kepler-1086 b,0.218,0.031,-0.025,Morton et al. 2016,,,,Morton et al. 2016,18.78415332,2.99e-06,-2.99e-06,Holczer et al. 2016,,,,Morton et al. 2016,0.66,0.01,-0.02,Morton et al. 2016,0.7,0.02,-0.03,Morton et al. 2016,[Fe/H],0.06,,4350.0,Kepler,Space,,0.12844036697247707,,1.5917672460735643e-07,,0.022727272727272724,0.03571428571428572,,
752,Kepler-1086 c,0.262,0.01,-0.012,Morton et al. 2016,,,,Morton et al. 2016,161.51541918,1.209e-05,-1.209e-05,Holczer et al. 2016,,,,Morton et al. 2016,0.66,0.01,-0.02,Morton et al. 2016,0.7,0.02,-0.03,Morton et al. 2016,[Fe/H],0.06,,4350.0,Kepler,Space,,0.041984732824427475,,7.48535344884092e-08,,0.022727272727272724,0.03571428571428572,,
753,Kepler-1087 b,0.06,0.004,-0.003,Berger et al. 2018,,,,Morton et al. 2016,0.69384424,1.42e-06,-1.42e-06,Gajdo&scaron; et al. 2019,,,,Morton et al. 2016,0.97,0.04,-0.04,Berger et al. 2018,0.96,0.072,-0.058,Morton et al. 2016,[Fe/H],0.01,,5589.0,Kepler,Space,,0.058333333333333334,,2.0465688379858857e-06,,0.041237113402061855,0.06770833333333334,,
754,Kepler-1088 b,0.127,0.01,-0.009000000000000001,Morton et al. 2016,,,,Morton et al. 2016,23.12744728,4.94e-06,-4.94e-06,Holczer et al. 2016,,,,Morton et al. 2016,1.01,0.04,-0.04,Berger et al. 2018,1.08,0.03,-0.034,Morton et al. 2016,[Fe/H],0.05,,5975.0,Kepler,Space,,0.07480314960629922,,2.1359901679559683e-07,,0.039603960396039604,0.029629629629629627,,
755,Kepler-1089 b,0.147,0.006999999999999999,-0.006,Berger et al. 2018,,,,Morton et al. 2016,5.13248544,2.1e-06,-2.1e-06,Holczer et al. 2016,,,,Morton et al. 2016,0.56,0.02,-0.02,Berger et al. 2018,0.52,0.026,-0.028,Morton et al. 2016,[Fe/H],-0.09,,3753.0,Kepler,Space,,0.04421768707482993,,4.091584914462027e-07,,0.03571428571428571,0.05192307692307692,,
756,Kepler-109 b,0.209,0.003,-0.003,Van Eylen & Albrecht 2015,0.022969999999999997,,, Marcy et al. 2014 ,6.4816271,9.6e-07,-9.6e-07,Holczer et al. 2016,,,,Marcy et al. 2014,1.32,0.04,-0.04, Marcy et al. 2014 ,1.1,0.038,-0.036,Morton et al. 2016,[Fe/H],-0.08,,5952.0,Kepler,Space,1.0,0.014354066985645933,,1.4811095812654818e-07,,0.030303030303030304,0.03363636363636363,,
757,Kepler-109 c,0.235,0.004,-0.004,Van Eylen & Albrecht 2015,0.06859,,, Marcy et al. 2014 ,21.22263519,1.34e-06,-1.34e-06,Holczer et al. 2016,,,,Marcy et al. 2014,1.36,0.04,-0.04,Morton et al. 2016,1.1,0.038,-0.036,Morton et al. 2016,[Fe/H],-0.08,,5952.0,Kepler,Space,1.0,0.01702127659574468,,6.314013259915062e-08,,0.029411764705882353,0.03363636363636363,,
758,Kepler-1090 b,0.201,0.019,-0.015,Morton et al. 2016,,,,Morton et al. 2016,198.67966078,6.73e-06,-6.73e-06,Holczer et al. 2016,,,,Morton et al. 2016,1.01,0.06,-0.05,Berger et al. 2018,0.86,0.049,-0.051,Morton et al. 2016,[Fe/H],-0.04,,5321.0,Kepler,Space,,0.0845771144278607,,3.3873623367276614e-08,,0.054455445544554455,0.058139534883720936,,
759,Kepler-1091 b,0.131,0.008,-0.006999999999999999,Berger et al. 2018,,,,Morton et al. 2016,1.43474156,3.27e-06,-3.27e-06,Morton et al. 2016,,,,Morton et al. 2016,1.04,0.05,-0.05,Berger et al. 2018,1.01,0.125,-0.079,Morton et al. 2016,[Fe/H],0.0,,5851.0,Kepler,Space,,0.05725190839694656,,2.2791561150567075e-06,,0.04807692307692308,0.100990099009901,,
760,Kepler-1092 b,0.191,0.016,-0.016,Berger et al. 2018,,,,Morton et al. 2016,58.60136304,1.416e-05,-1.416e-05,Holczer et al. 2016,,,,Morton et al. 2016,1.06,0.08,-0.07,Berger et al. 2018,0.99,0.092,-0.071,Morton et al. 2016,[Fe/H],-0.09,,5862.0,Kepler,Space,,0.08376963350785341,,2.4163260486508983e-07,,0.07075471698113209,0.08232323232323231,,
761,Kepler-1093 b,0.174,0.055,-0.022000000000000002,Morton et al. 2016,,,,Morton et al. 2016,25.08282784,8.71e-06,-8.71e-06,Holczer et al. 2016,,,,Morton et al. 2016,1.2,0.38,-0.15,Morton et al. 2016,1.13,0.136,-0.088,Morton et al. 2016,[Fe/H],-0.01,,6166.0,Kepler,Space,,0.22126436781609196,,3.4724952288314233e-07,,0.22083333333333335,0.09911504424778762,,
762,Kepler-1093 c,0.175,0.064,-0.024,Morton et al. 2016,,,,Morton et al. 2016,89.72188091,9.9e-06,-9.9e-06,Holczer et al. 2016,,,,Morton et al. 2016,1.2,0.38,-0.15,Morton et al. 2016,1.13,0.136,-0.088,Morton et al. 2016,[Fe/H],-0.01,,6166.0,Kepler,Space,,0.25142857142857145,,1.1034097702355001e-07,,0.22083333333333335,0.09911504424778762,,
763,Kepler-1094 b,0.273,0.018000000000000002,-0.023,Berger et al. 2018,,,,Morton et al. 2016,78.09953284,9.52e-06,-9.52e-06,Holczer et al. 2016,,,,Morton et al. 2016,1.17,0.08,-0.07,Berger et al. 2018,1.14,0.157,-0.092,Morton et al. 2016,[Fe/H],0.06,,6112.0,Kepler,Space,,0.07509157509157509,,1.2189573552896044e-07,,0.06410256410256411,0.10921052631578948,,
764,Kepler-1095 b,0.10800000000000001,0.018000000000000002,-0.011000000000000001,Morton et al. 2016,,,,Morton et al. 2016,4.27103091,1.48e-05,-1.48e-05,Morton et al. 2016,,,,Morton et al. 2016,0.92,0.14,-0.09,Morton et al. 2016,0.94,0.071,-0.066,Morton et al. 2016,[Fe/H],-0.09,,5658.0,Kepler,Space,,0.13425925925925927,,3.4652055468266325e-06,,0.125,0.07287234042553192,,
765,Kepler-1096 b,0.111,0.033,-0.006999999999999999,Morton et al. 2016,,,,Morton et al. 2016,2.89221751,6e-06,-6e-06,Morton et al. 2016,,,,Morton et al. 2016,0.63,0.02,-0.03,Morton et al. 2016,0.66,0.034,-0.027,Morton et al. 2016,[Fe/H],-0.1,,4306.0,Kepler,Space,,0.18018018018018017,,2.0745327691484726e-06,,0.03968253968253969,0.04621212121212121,,
766,Kepler-1097 b,0.273,0.025,-0.021,Berger et al. 2018,,,,Morton et al. 2016,187.74568836,1.332e-05,-1.332e-05,Holczer et al. 2016,,,,Morton et al. 2016,0.79,0.05,-0.05,Morton et al. 2016,0.82,0.044,-0.056,Morton et al. 2016,[Fe/H],-0.11,,5211.0,Kepler,Space,,0.08424908424908424,,7.094703540919174e-08,,0.06329113924050633,0.06097560975609757,,
767,Kepler-1098 b,0.132,0.008,-0.006999999999999999,Berger et al. 2018,,,,Morton et al. 2016,2.54309766,8.39e-06,-8.39e-06,Gajdo&scaron; et al. 2019,,,,Morton et al. 2016,1.21,0.06,-0.06,Berger et al. 2018,0.99,0.096,-0.073,Morton et al. 2016,[Fe/H],-0.02,,5794.0,Kepler,Space,,0.056818181818181816,,3.2991261531025903e-06,,0.049586776859504134,0.08535353535353535,,
768,Kepler-1099 b,0.16,0.013000000000000001,-0.013000000000000001,Berger et al. 2018,,,,Morton et al. 2016,2.16844614,1.97e-06,-1.97e-06,Holczer et al. 2016,,,,Morton et al. 2016,0.82,0.07,-0.06,Berger et al. 2018,1.01,0.05,-0.057,Morton et al. 2016,[Fe/H],-0.02,,5837.0,Kepler,Space,,0.08125,,9.084846349930555e-07,,0.07926829268292683,0.052970297029702976,,
769,Kepler-11 b,0.161,0.003,-0.004, Lissauer et al. 2013 ,0.006,0.004,-0.003, Lissauer et al. 2013 ,10.30402569,3.19e-06,-3.19e-06,Holczer et al. 2016,0.091,0.001,-0.001, Lissauer et al. 2013 ,1.06,0.02,-0.02, Lissauer et al. 2013 ,0.961,0.025,-0.025, Lissauer et al. 2013 ,[M/H],-0.040999999999999995,,5663.0,Kepler,Space,0.0,0.021739130434782608,0.5833333333333334,3.095877374506041e-07,0.01098901098901099,0.018867924528301886,0.026014568158168577,0.01,0.003
770,Kepler-11 c,0.256,0.004,-0.005, Lissauer et al. 2013 ,0.0066,0.0069,-0.0049,Borsato et al. 2014,13.02490605,1.76e-06,-1.76e-06,Holczer et al. 2016,0.107,0.001,-0.001, Lissauer et al. 2013 ,1.06,0.02,-0.02, Lissauer et al. 2013 ,0.961,0.025,-0.025, Lissauer et al. 2013 ,[M/H],-0.040999999999999995,,5663.0,Kepler,Space,0.0,0.017578125,0.8939393939393939,1.3512573474570282e-07,0.009345794392523366,0.018867924528301886,0.026014568158168577,0.0135,0.0017000000000000001
771,Kepler-11 d,0.278,0.005,-0.006, Lissauer et al. 2013 ,0.0214,0.0022,-0.00252,Hadden &amp; Lithwick 2017,22.68714251,2.15e-06,-2.15e-06,Holczer et al. 2016,0.155,0.001,-0.001, Lissauer et al. 2013 ,1.06,0.02,-0.02, Lissauer et al. 2013 ,0.961,0.025,-0.025, Lissauer et al. 2013 ,[M/H],-0.040999999999999995,,5663.0,Kepler,Space,0.0,0.019784172661870502,0.11028037383177572,9.476733348205163e-08,0.0064516129032258064,0.018867924528301886,0.026014568158168577,0.0236,0.018879999999999997
772,Kepler-11 e,0.374,0.006,-0.008, Lissauer et al. 2013 ,0.02108,0.0037799999999999995,-0.00315,Hadden &amp; Lithwick 2017,31.9954389,2.28e-06,-2.28e-06,Holczer et al. 2016,0.195,0.002,-0.002, Lissauer et al. 2013 ,1.06,0.02,-0.02, Lissauer et al. 2013 ,0.961,0.025,-0.025, Lissauer et al. 2013 ,[M/H],-0.040999999999999995,,5663.0,Kepler,Space,0.0,0.018716577540106954,0.1643738140417457,7.126015702194353e-08,0.010256410256410256,0.018867924528301886,0.026014568158168577,0.02486,0.01793
773,Kepler-11 f,0.222,0.004,-0.006, Lissauer et al. 2013 ,0.00535,0.00157,-0.00126,Hadden &amp; Lithwick 2017,46.68568857,9.1e-06,-9.1e-06,Holczer et al. 2016,0.25,0.002,-0.002, Lissauer et al. 2013 ,1.06,0.02,-0.02, Lissauer et al. 2013 ,0.961,0.025,-0.025, Lissauer et al. 2013 ,[M/H],-0.040999999999999995,,5663.0,Kepler,Space,0.0,0.02252252252252252,0.2644859813084112,1.9492054800381835e-07,0.008,0.018867924528301886,0.026014568158168577,0.00692,0.00409
774,Kepler-11 g,0.297,0.005,-0.006999999999999999, Lissauer et al. 2013 ,0.0791,0.1553,-0.0617,Borsato et al. 2014,118.37824892,3.49e-06,-3.49e-06,Holczer et al. 2016,0.466,0.004,-0.004, Lissauer et al. 2013 ,1.06,0.02,-0.02, Lissauer et al. 2013 ,0.961,0.025,-0.025, Lissauer et al. 2013 ,[M/H],-0.040999999999999995,,5663.0,Kepler,Space,0.0,0.020202020202020204,1.3716814159292035,2.9481767401024332e-08,0.008583690987124463,0.018867924528301886,0.026014568158168577,0.2344,0.017400000000000006
775,Kepler-110 b,0.177,0.009000000000000001,-0.008,Berger et al. 2018,,,,Rowe et al. 2014,12.69105879,1.85e-06,-1.85e-06,Holczer et al. 2016,0.107,,,Rowe et al. 2014,1.25,0.06,-0.05,Berger et al. 2018,1.15,0.106,-0.07,Morton et al. 2016,,,,5960.0,Kepler,Space,,0.048022598870056506,,1.4577191947591633e-07,,0.044,0.07652173913043478,,
