mpl_name,mpl_radj,mpl_bmassj,mpl_bmassprov,mpl_orbper,mpl_orbsmax,mpl_orbeccen,mpl_orbincl,mpl_dens,mpl_orblper,mpl_ratror,mpl_discmethod,mpl_disc,mpl_reflink,mpl_def,mst_rad,mst_mass,mst_raderr1,mst_raderr2,mst_masserr1,mst_masserr2,mpl_radjerr1,mpl_radjerr2,mpl_bmassjerr1,mpl_bmassjerr2,mpl_bmassjlim,mpl_orbpererr1,mpl_orbpererr2,mpl_orbsmaxerr1,mpl_orbsmaxerr2,mpl_ratrorerr1,mpl_ratrorerr2,rowupdate,mpl_publ_date
Kepler-102 c,0.052,0.00944,Mass,7.07142000,,,,,,0.00723,Transit,2014,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,1,0.74,0.8000,0.02,-0.02,0.0600,-0.0600,0.002,-0.002,,,1,,,,,,,2016-10-13,2014-02
Kepler-1583 b,0.054,,,9.32807355,,,,,,0.00590,Transit,2016,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,1,0.91,0.9400,0.12,-0.07,0.0460,-0.0560,0.008,-0.004,,,,0.00008851,-0.00008851,,,0.00038,-0.00031,2016-05-10,
Kepler-138 b,0.054,,,10.31236400,0.077000,,,,,,Transit,2014,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,0,0.53,,0.04,-0.04,,,0.004,-0.004,,,,0.00003600,-0.00003600,,,,,2014-05-14,2014-03
Kepler-1087 b,0.054,,,0.69384285,,,,,,0.00646,Transit,2016,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,1,0.94,0.9600,0.26,-0.07,0.0720,-0.0580,0.015,-0.004,,,,0.00000159,-0.00000159,,,0.00022,-0.00023,2016-05-10,
Kepler-62 c,0.055,,,,,,,,,,Transit,2013,<a refstr=BERGER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...866...99B/abstract target=ref>Berger et al. 2018</a>,0,0.71,,0.03,-0.03,,,0.004,-0.004,,,,,,,,,,2018-09-06,2013-05
K2-89 b,0.055,,,1.09602600,0.014620,,,,,0.01760,Transit,2016,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,1,0.32,0.3470,0.03,-0.03,0.0360,-0.0360,0.007,-0.007,,,,0.00006500,-0.00006500,0.000510,-0.000510,0.00140,-0.00140,2016-07-18,
Kepler-102 c,0.055,,,,,,,,,,Transit,2014,<a refstr=BERGER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...866...99B/abstract target=ref>Berger et al. 2018</a>,0,0.73,,0.03,-0.03,,,0.016,-0.005,,,,,,,,,,2018-09-06,2014-02
Kepler-138 b,0.056,,,,,,,,,,Transit,2014,<a refstr=BERGER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...866...99B/abstract target=ref>Berger et al. 2018</a>,0,0.54,,0.01,-0.01,,,0.003,-0.002,,,,,,,,,,2018-09-06,2014-03
Kepler-1371 c,0.057,,,2.00541269,,,,,,0.00676,Transit,2016,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,1,0.83,0.8700,0.07,-0.06,0.0440,-0.0520,0.006,-0.004,,,,0.00001065,-0.00001065,,,0.00042,-0.00037,2016-05-10,
Kepler-138 b,0.057,,,10.31320643,,,,,,0.01065,Transit,2014,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,0,0.53,0.5600,0.02,-0.02,0.0230,-0.0240,0.004,-0.003,,,,0.00002654,-0.00002654,,,0.00049,-0.00023,2016-05-10,2014-03
Kepler-1351 b,0.058,,,0.91614077,,,,,,0.00897,Transit,2016,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,1,0.67,0.7000,0.03,-0.04,0.0310,-0.0430,0.004,-0.004,,,,0.00000192,-0.00000192,,,0.00063,-0.00020,2016-05-10,
Kepler-1542 c,0.058,,,2.89223021,,,,,,0.00637,Transit,2016,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,1,0.99,0.9400,0.13,-0.09,0.0320,-0.0310,0.008,-0.005,,,,0.00001472,-0.00001472,,,0.00031,-0.00022,2016-05-10,
Kepler-271 d,0.059,,,5.24972541,,,,,,0.00722,Transit,2016,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,1,0.87,0.9000,0.05,-0.04,0.0410,-0.0450,0.004,-0.004,,,,0.00004062,-0.00004062,,,0.00044,-0.00033,2016-05-10,
Kepler-271 d,0.060,,,,,,,,,,Transit,2016,<a refstr=BERGER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...866...99B/abstract target=ref>Berger et al. 2018</a>,0,0.86,,0.04,-0.04,,,0.004,-0.004,,,,,,,,,,2018-09-06,
Kepler-1629 b,0.060,,,,,,,,,,Transit,2016,<a refstr=BERGER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...866...99B/abstract target=ref>Berger et al. 2018</a>,0,0.88,,0.04,-0.04,,,0.005,-0.004,,,,,,,,,,2018-09-06,
Kepler-408 b,0.060,,,2.46502616,,,,,,0.00520,Transit,2014,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,0,1.23,1.0900,0.03,-0.03,0.0400,-0.0430,0.002,-0.004,,,,0.00000474,-0.00000474,,,0.00009,-0.00025,2016-05-10,2014-02
Kepler-42 d,0.060,,,1.86511236,,0.020000,,,,0.03493,Transit,2011,<a refstr=MANN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..267M/abstract target=ref>Mann et al. 2017</a>,0,0.17,0.1440,0.01,-0.01,0.0070,-0.0060,0.004,-0.003,,,,0.00000075,-0.00000071,,,0.00141,-0.00133,2017-05-25,2012-03
Kepler-431 c,0.060,,,8.70300000,0.084700,,,,,0.00560,Transit,2015,<a refstr=EVERETT_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015AJ....149...55E/abstract target=ref>Everett et al. 2015</a>,1,1.09,1.0710,0.19,-0.11,0.0590,-0.0370,,,,,,,,,,,,2014-11-19,2015-02
Kepler-1087 b,0.060,,,,,,,,,,Transit,2016,<a refstr=BERGER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...866...99B/abstract target=ref>Berger et al. 2018</a>,0,0.97,,0.04,-0.04,,,0.004,-0.003,,,,,,,,,,2018-09-06,
Kepler-783 b,0.060,,,,,,,,,,Transit,2016,<a refstr=BERGER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...866...99B/abstract target=ref>Berger et al. 2018</a>,0,0.86,,0.04,-0.04,,,0.004,-0.005,,,,,,,,,,2018-09-06,
Kepler-37 c,0.061,,,21.30199109,,,,,,0.00837,Transit,2013,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,0,0.78,0.8300,0.03,-0.02,0.0260,-0.0280,0.003,-0.002,,,,0.00005432,-0.00005432,,,0.00027,-0.00015,2016-05-10,2013-02
Kepler-1558 b,0.061,,,3.50470358,,,,,,0.00844,Transit,2016,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,1,0.79,0.8300,0.04,-0.04,0.0350,-0.0440,0.005,-0.004,,,,0.00001612,-0.00001612,,,0.00058,-0.00021,2016-05-10,
K2-116 b,0.062,,,4.65541100,0.048000,0.060000,89.090,,-23.4400,0.00940,Transit,2017,<a refstr=DRESSING_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..207D/abstract target=ref>Dressing et al. 2017</a>,1,0.67,0.6945,0.03,-0.03,0.0695,-0.0695,0.004,-0.004,,,,0.00048600,-0.00047300,0.002000,-0.002000,0.00040,-0.00036,2017-10-05,
Kepler-141 b,0.062,,,3.10763873,,,,,,0.00781,Transit,2014,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,0,0.79,0.8400,0.02,-0.02,0.0300,-0.0320,0.003,-0.004,,,,0.00001440,-0.00001440,,,0.00031,-0.00054,2016-05-10,2014-03
EPIC 201497682 b,0.062,,,2.13174000,,,,,,0.01150,Transit,2019,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>,1,,0.7800,,,0.0850,-0.1700,0.005,-0.004,,,,0.00022000,-0.00022000,,,0.00080,-0.00080,2019-06-13,
Kepler-378 c,0.062,,,28.90600900,0.166000,,,,,,Transit,2014,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,1,0.67,,0.04,-0.04,,,0.004,-0.004,,,,0.00021600,-0.00021600,,,,,2014-05-14,2014-03
Kepler-141 b,0.062,,,3.10767500,0.039000,,,,,,Transit,2014,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,1,0.79,,0.04,-0.04,,,0.004,-0.004,,,,0.00002200,-0.00002200,,,,,2014-05-14,2014-03
Kepler-1395 b,0.062,,,,,,,,,,Transit,2016,<a refstr=BERGER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...866...99B/abstract target=ref>Berger et al. 2018</a>,0,1.21,,0.05,-0.05,,,0.004,-0.005,,,,,,,,,,2018-09-06,
Kepler-1349 b,0.062,,,,,,,,,,Transit,2016,<a refstr=BERGER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...866...99B/abstract target=ref>Berger et al. 2018</a>,0,1.38,,0.06,-0.06,,,0.004,-0.003,,,,,,,,,,2018-09-06,
Kepler-1558 b,0.062,,,,,,,,,,Transit,2016,<a refstr=BERGER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...866...99B/abstract target=ref>Berger et al. 2018</a>,0,0.74,,0.03,-0.03,,,0.004,-0.004,,,,,,,,,,2018-09-06,
Kepler-1583 b,0.062,,,,,,,,,,Transit,2016,<a refstr=BERGER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...866...99B/abstract target=ref>Berger et al. 2018</a>,0,1.06,,0.04,-0.04,,,0.004,-0.004,,,,,,,,,,2018-09-06,
Kepler-1349 b,0.062,,,2.12823928,,,,,,0.00464,Transit,2016,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,1,1.28,1.1600,1.15,-0.19,0.4100,-0.0820,0.056,-0.010,,,,0.00001057,-0.00001057,,,0.00023,-0.00009,2016-05-10,
Kepler-138 b,0.063,0.00059,Mass,10.31368000,0.076000,0.006000,88.450,3.02000,23.0000,0.01104,Transit,2014,<a refstr=ALMENARA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.478..460A/abstract target=ref>Almenara et al. 2018</a>,0,0.58,0.5510,0.04,-0.04,0.0680,-0.0680,0.006,-0.006,0.00016,-0.00016,0,0.00018000,-0.00022000,0.003300,-0.003300,0.00031,-0.00031,2019-05-23,2014-03
K2-266 c,0.063,0.00091,Msin(i)/sin(i),7.81400000,0.067900,0.042000,88.280,4.51000,87.0000,0.00920,Transit,2018,<a refstr=RODRIGUEZ_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..245R/abstract target=ref>Rodriguez et al. 2018</a>,1,0.70,0.6860,0.02,-0.02,0.0330,-0.0330,0.009,-0.008,0.00054,-0.00054,0,0.00190000,-0.00160000,0.001100,-0.001100,0.00120,-0.00110,2018-10-26,
Kepler-37 c,0.063,,,21.30207100,,0.090000,,,,,Transit,2013,<a refstr=VAN_EYLEN___ALBRECHT_2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...808..126V/abstract target=ref>Van Eylen & Albrecht 2015</a>,0,,,,,,,0.001,-0.001,,,,0.00009200,-0.00009200,,,,,2015-05-21,2013-02
