pl_name,pl_rvflag,pl_controvflag,pl_radj,pl_bmassj,pl_bmassprov,pl_bmassjlim,pl_radjerr1,pl_radjerr2,pl_bmassjerr1,pl_bmassjerr2,pl_orbper,pl_orbsmax,pl_orbpererr1,pl_orbpererr2,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbincl,pl_dens,pl_orblper,pl_ratror,pl_discmethod,pl_kepflag,pl_k2flag,pl_locale,pl_facility,pl_disc,pl_def_refname,pl_disc_refname,rowupdate,pl_publ_date,pl_insol,st_teff,st_metfe,st_metratio,pl_hostname,st_rad,st_mass,st_spstr,st_raderr1,st_raderr2,st_masserr1,st_masserr2
Kepler-1222 b,0,0,0.070,,,,0.005,-0.005,,,1.91694425,,0.00000611,-0.00000611,,,,,,,0.00938,Transit,1,0,Space,Kepler,2016,Morton et al. 2016,Morton et al. 2016,2016-05-10,,,5239.00,-0.040,[Fe/H],Kepler-1222,0.80,0.84,,0.05,-0.05,0.04,-0.05
L 98-59 b,0,0,0.071,0.00318,Mass,1,0.004,-0.004,,,2.25310000,0.022820,0.00040000,-0.00040000,0.000080,-0.000080,0.120000,,12.70000,,,Transit,0,0,Space,Transiting Exoplanet Survey Satellite (TESS),2019,Cloutier et al. 2019,Kostov et al. 2019,2020-04-16,2019-05,,3412.00,-0.500,[Fe/H],L 98-59,0.31,0.31,M3 V,0.01,-0.01,0.03,-0.03
Kepler-1365 c,0,0,0.071,,,,0.011,-0.007,,,4.77468005,,0.00004014,-0.00004014,,,,,,,0.00653,Transit,1,0,Space,Kepler,2016,Morton et al. 2016,Morton et al. 2016,2016-05-10,,,5770.00,0.030,[Fe/H],Kepler-1365,1.05,1.00,,0.15,-0.10,0.04,-0.04
Kepler-1393 b,0,0,0.071,,,,0.004,-0.007,,,2.44357812,,0.00001231,-0.00001231,,,,,,,0.00778,Transit,1,0,Space,Kepler,2016,Morton et al. 2016,Morton et al. 2016,2016-05-10,,,5697.00,-0.090,[Fe/H],Kepler-1393,0.92,0.95,,0.05,-0.04,0.04,-0.05
Kepler-1395 b,0,0,0.071,,,,0.008,-0.005,,,3.78470649,,0.00002720,-0.00002720,,,,,,,0.00554,Transit,1,0,Space,Kepler,2016,Morton et al. 2016,Morton et al. 2016,2016-05-10,,,6138.00,0.120,[Fe/H],Kepler-1395,1.23,1.17,,0.12,-0.08,0.04,-0.03
Kepler-1581 b,0,0,0.071,,,,0.012,-0.008,,,6.28385491,,0.00004246,-0.00004246,,,,,,,0.00567,Transit,1,0,Space,Kepler,2016,Morton et al. 2016,Morton et al. 2016,2016-05-10,,,6022.00,0.070,[Fe/H],Kepler-1581,1.23,1.12,,0.20,-0.14,0.06,-0.04
Kepler-1130 b,0,0,0.071,,,,0.014,-0.003,,,5.45298175,,0.00001294,-0.00001294,,,,,,,0.00900,Transit,1,0,Space,Kepler,2016,Morton et al. 2016,Morton et al. 2016,2016-05-10,,,5403.00,-0.060,[Fe/H],Kepler-1130,0.81,0.90,,0.01,-0.01,0.02,-0.02
Kepler-1067 b,0,0,0.071,,,,0.011,-0.005,,,0.76212926,,0.00000273,-0.00000273,,,,,,,0.00778,Transit,1,0,Space,Kepler,2016,Morton et al. 2016,Morton et al. 2016,2016-05-10,,,5592.00,0.030,[Fe/H],Kepler-1067,0.93,0.95,,0.16,-0.06,0.04,-0.04
Kepler-1076 b,0,0,0.071,,,,0.004,-0.003,,,6.14727918,,0.00002112,-0.00002112,,,,,,,0.01000,Transit,1,0,Space,Kepler,2016,Morton et al. 2016,Morton et al. 2016,2016-05-10,,,4868.00,-0.010,[Fe/H],Kepler-1076,0.74,0.79,,0.01,-0.02,0.03,-0.04
Kepler-388 b,0,0,0.072,,,,0.009,-0.009,,,3.17331500,0.036000,0.00001800,-0.00001800,,,,,,,,Transit,1,0,Space,Kepler,2014,Rowe et al. 2014,Rowe et al. 2014,2014-05-14,2014-03,,4498.00,,,Kepler-388,0.59,,,0.07,-0.07,,
