fpl_name,fpl_radj,fpl_bmassj,fpl_bmassprov,fpl_radjerr1,fpl_radjerr2,fpl_bmassjerr1,fpl_bmassjerr2,fpl_orbper,fpl_smax,fpl_eccen,fpl_dens,fpl_discmethod,fpl_disc,fpl_radreflink,fpl_bmassreflink,fpl_orbperreflink
Kepler-1542 c,0.058,0.00065,M-R relationship,0.008,-0.005,,,2.89223021,,,4.16000,Transit,2016,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=CALCULATED_VALUE href=/docs/composite_calc.html target=_blank>Calculated Value</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>
Kepler-1351 b,0.058,0.00065,M-R relationship,0.004,-0.004,,,0.91614077,,,4.16000,Transit,2016,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=CALCULATED_VALUE href=/docs/composite_calc.html target=_blank>Calculated Value</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>
Kepler-271 d,0.059,0.00069,M-R relationship,0.004,-0.004,,,5.24972541,,,4.19000,Transit,2016,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=CALCULATED_VALUE href=/docs/composite_calc.html target=_blank>Calculated Value</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>
Kepler-431 c,0.060,0.00072,M-R relationship,,,,,8.70300000,0.084700,,4.22000,Transit,2015,<a refstr=EVERETT_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015AJ....149...55E/abstract target=ref>Everett et al. 2015</a>,<a refstr=CALCULATED_VALUE href=/docs/composite_calc.html target=_blank>Calculated Value</a>,<a refstr=EVERETT_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015AJ....149...55E/abstract target=ref>Everett et al. 2015</a>
Kepler-1558 b,0.061,0.00077,M-R relationship,0.005,-0.004,,,3.50470358,,,4.26000,Transit,2016,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=CALCULATED_VALUE href=/docs/composite_calc.html target=_blank>Calculated Value</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>
K2-116 b,0.062,0.00081,M-R relationship,0.004,-0.004,,,4.65541100,0.048000,0.060000,4.30000,Transit,2017,<a refstr=DRESSING_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..207D/abstract target=ref>Dressing et al. 2017</a>,<a refstr=CALCULATED_VALUE href=/docs/composite_calc.html target=_blank>Calculated Value</a>,<a refstr=DRESSING_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..207D/abstract target=ref>Dressing et al. 2017</a>
EPIC 201497682 b,0.062,0.00082,M-R relationship,0.005,-0.004,,,2.13174000,,,4.31000,Transit,2019,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>,<a refstr=CALCULATED_VALUE href=/docs/composite_calc.html target=_blank>Calculated Value</a>,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>
Kepler-141 b,0.062,0.00081,M-R relationship,0.004,-0.004,,,3.10767500,0.039000,,4.30000,Transit,2014,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,<a refstr=CALCULATED_VALUE href=/docs/composite_calc.html target=_blank>Calculated Value</a>,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>
Kepler-378 c,0.062,0.00085,M-R relationship,0.004,-0.004,,,28.90600900,0.166000,,4.34000,Transit,2014,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,<a refstr=CALCULATED_VALUE href=/docs/composite_calc.html target=_blank>Calculated Value</a>,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>
Kepler-1349 b,0.062,0.00085,M-R relationship,0.056,-0.010,,,2.12823928,,,4.34000,Transit,2016,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=CALCULATED_VALUE href=/docs/composite_calc.html target=_blank>Calculated Value</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>
K2-266 c,0.063,0.00091,Msin(i)/sin(i),0.009,-0.008,0.00054,-0.00054,7.81400000,0.067900,0.042000,4.51000,Transit,2018,<a refstr=RODRIGUEZ_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..245R/abstract target=ref>Rodriguez et al. 2018</a>,<a refstr=RODRIGUEZ_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..245R/abstract target=ref>Rodriguez et al. 2018</a>,<a refstr=RODRIGUEZ_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..245R/abstract target=ref>Rodriguez et al. 2018</a>
Kepler-1339 b,0.063,0.00090,M-R relationship,0.005,-0.004,,,1.34155513,,,4.38000,Transit,2016,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=CALCULATED_VALUE href=/docs/composite_calc.html target=_blank>Calculated Value</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>
Kepler-1559 b,0.064,0.00094,M-R relationship,0.006,-0.004,,,0.97191543,,,4.40000,Transit,2016,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=CALCULATED_VALUE href=/docs/composite_calc.html target=_blank>Calculated Value</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>
Kepler-124 b,0.065,0.00099,M-R relationship,0.004,-0.004,,,3.41049300,0.039000,,4.45000,Transit,2014,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,<a refstr=CALCULATED_VALUE href=/docs/composite_calc.html target=_blank>Calculated Value</a>,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>
Kepler-42 c,0.065,0.00099,M-R relationship,0.018,-0.018,,,0.45328509,0.006000,0.000000,4.45000,Transit,2011,<a refstr=MUIRHEAD_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012arXiv1201.2189M/abstract target=ref> Muirhead et al. 2012 </a>,<a refstr=CALCULATED_VALUE href=/docs/composite_calc.html target=_blank>Calculated Value</a>,<a refstr=MUIRHEAD_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012arXiv1201.2189M/abstract target=ref> Muirhead et al. 2012 </a>
Kepler-1371 b,0.065,0.00099,M-R relationship,0.007,-0.004,,,3.44620390,,,4.45000,Transit,2016,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=CALCULATED_VALUE href=/docs/composite_calc.html target=_blank>Calculated Value</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>
Kepler-125 c,0.066,0.00104,M-R relationship,0.004,-0.004,,,5.77446400,0.051000,,4.47000,Transit,2014,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,<a refstr=CALCULATED_VALUE href=/docs/composite_calc.html target=_blank>Calculated Value</a>,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>
Kepler-345 b,0.066,0.00157,Mass,0.005,-0.005,0.00094,-0.00094,7.41556300,0.066000,,5.20000,Transit,2014,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,<a refstr=HADDEN__AMP__LITHWICK_2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154....5H/abstract target=ref>Hadden &amp; Lithwick 2017</a>,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>
Kepler-444 f,0.066,0.00104,M-R relationship,0.004,-0.004,,,9.74048600,0.081100,0.290000,4.48000,Transit,2015,<a refstr=CAMPANTE_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...799..170C/abstract target=ref>Campante et al. 2015</a>,<a refstr=CALCULATED_VALUE href=/docs/composite_calc.html target=_blank>Calculated Value</a>,<a refstr=CAMPANTE_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...799..170C/abstract target=ref>Campante et al. 2015</a>
Kepler-1563 b,0.067,0.00109,M-R relationship,0.011,-0.007,,,3.43276598,,,4.52000,Transit,2016,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=CALCULATED_VALUE href=/docs/composite_calc.html target=_blank>Calculated Value</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>
